N ;K ;Answer First ;Time First ;;Answer Second ;Time Second 
22;21;If a person plays optimally, he will win;0.006;;If a person plays optimally, he will win;0
22;22;If a person plays optimally, he will win;0;;If a person plays optimally, he will win;0
23;2;The computer win;0.008;;The computer win;0
23;3;If a person plays optimally, he will win;0.007;;If a person plays optimally, he will win;0
23;4;If a person plays optimally, he will win;0.009;;If a person plays optimally, he will win;0
23;5;If a person plays optimally, he will win;0.009;;If a person plays optimally, he will win;0
23;6;If a person plays optimally, he will win;0.011;;If a person plays optimally, he will win;0
23;7;If a person plays optimally, he will win;0.009;;If a person plays optimally, he will win;0
23;8;If a person plays optimally, he will win;0.012;;If a person plays optimally, he will win;0
23;9;If a person plays optimally, he will win;0.01;;If a person plays optimally, he will win;0
23;10;If a person plays optimally, he will win;0.009;;If a person plays optimally, he will win;0
23;11;If a person plays optimally, he will win;0.012;;If a person plays optimally, he will win;0
23;12;If a person plays optimally, he will win;0.012;;If a person plays optimally, he will win;0
23;13;If a person plays optimally, he will win;0.012;;If a person plays optimally, he will win;0
23;14;If a person plays optimally, he will win;0.01;;If a person plays optimally, he will win;0
23;15;If a person plays optimally, he will win;0.012;;If a person plays optimally, he will win;0
23;16;If a person plays optimally, he will win;0.01;;If a person plays optimally, he will win;0.001
23;17;If a person plays optimally, he will win;0.011;;If a person plays optimally, he will win;0.001
23;18;If a person plays optimally, he will win;0.012;;If a person plays optimally, he will win;0
23;19;If a person plays optimally, he will win;0.01;;If a person plays optimally, he will win;0
23;20;If a person plays optimally, he will win;0.011;;If a person plays optimally, he will win;0
23;21;If a person plays optimally, he will win;0.009;;If a person plays optimally, he will win;0
23;22;If a person plays optimally, he will win;0.011;;If a person plays optimally, he will win;0
23;23;If a person plays optimally, he will win;0.011;;If a person plays optimally, he will win;0.002
24;2;If a person plays optimally, he will win;0.012;;If a person plays optimally, he will win;0
24;3;If a person plays optimally, he will win;0.021;;If a person plays optimally, he will win;0
24;4;If a person plays optimally, he will win;0.015;;If a person plays optimally, he will win;0
24;5;If a person plays optimally, he will win;0.02;;If a person plays optimally, he will win;0
24;6;If a person plays optimally, he will win;0.014;;If a person plays optimally, he will win;0
24;7;If a person plays optimally, he will win;0.015;;If a person plays optimally, he will win;0
24;8;If a person plays optimally, he will win;0.026;;If a person plays optimally, he will win;0
24;9;If a person plays optimally, he will win;0.02;;If a person plays optimally, he will win;0
24;10;If a person plays optimally, he will win;0.017;;If a person plays optimally, he will win;0
24;11;If a person plays optimally, he will win;0.019;;If a person plays optimally, he will win;0
24;12;If a person plays optimally, he will win;0.015;;If a person plays optimally, he will win;0
24;13;If a person plays optimally, he will win;0.017;;If a person plays optimally, he will win;0
24;14;If a person plays optimally, he will win;0.022;;If a person plays optimally, he will win;0
24;15;If a person plays optimally, he will win;0.016;;If a person plays optimally, he will win;0
24;16;If a person plays optimally, he will win;0.017;;If a person plays optimally, he will win;0.001
24;17;If a person plays optimally, he will win;0.017;;If a person plays optimally, he will win;0
24;18;If a person plays optimally, he will win;0.02;;If a person plays optimally, he will win;0.001
24;19;If a person plays optimally, he will win;0.016;;If a person plays optimally, he will win;0
24;20;If a person plays optimally, he will win;0.022;;If a person plays optimally, he will win;0
24;21;If a person plays optimally, he will win;0.018;;If a person plays optimally, he will win;0
24;22;If a person plays optimally, he will win;0.022;;If a person plays optimally, he will win;0
24;23;If a person plays optimally, he will win;0.017;;If a person plays optimally, he will win;0.001
24;24;If a person plays optimally, he will win;0;;If a person plays optimally, he will win;0.002
25;2;The computer win;0.018;;The computer win;0
25;3;The computer win;0.032;;The computer win;0
25;4;The computer win;0.025;;The computer win;0
25;5;If a person plays optimally, he will win;0.035;;If a person plays optimally, he will win;0
25;6;If a person plays optimally, he will win;0.028;;If a person plays optimally, he will win;0
25;7;If a person plays optimally, he will win;0.031;;If a person plays optimally, he will win;0
25;8;If a person plays optimally, he will win;0.03;;If a person plays optimally, he will win;0
25;9;If a person plays optimally, he will win;0.029;;If a person plays optimally, he will win;0
25;10;If a person plays optimally, he will win;0.034;;If a person plays optimally, he will win;0
25;11;If a person plays optimally, he will win;0.028;;If a person plays optimally, he will win;0
25;12;If a person plays optimally, he will win;0.031;;If a person plays optimally, he will win;0
25;13;If a person plays optimally, he will win;0.033;;If a person plays optimally, he will win;0.001
25;14;If a person plays optimally, he will win;0.027;;If a person plays optimally, he will win;0
25;15;If a person plays optimally, he will win;0.03;;If a person plays optimally, he will win;0
25;16;If a person plays optimally, he will win;0.05;;If a person plays optimally, he will win;0
25;17;If a person plays optimally, he will win;0.036;;If a person plays optimally, he will win;0
25;18;If a person plays optimally, he will win;0.062;;If a person plays optimally, he will win;0.001
25;19;If a person plays optimally, he will win;0.062;;If a person plays optimally, he will win;0.001
25;20;If a person plays optimally, he will win;0.051;;If a person plays optimally, he will win;0
25;21;If a person plays optimally, he will win;0.04;;If a person plays optimally, he will win;0
25;22;If a person plays optimally, he will win;0.038;;If a person plays optimally, he will win;0.001
25;23;If a person plays optimally, he will win;0.033;;If a person plays optimally, he will win;0
25;24;If a person plays optimally, he will win;0.029;;If a person plays optimally, he will win;0
25;25;If a person plays optimally, he will win;0.029;;If a person plays optimally, he will win;0.001
26;2;If a person plays optimally, he will win;0.03;;If a person plays optimally, he will win;0
26;3;If a person plays optimally, he will win;0.037;;If a person plays optimally, he will win;0
26;4;If a person plays optimally, he will win;0.049;;If a person plays optimally, he will win;0
26;5;If a person plays optimally, he will win;0.055;;If a person plays optimally, he will win;0
26;6;If a person plays optimally, he will win;0.049;;If a person plays optimally, he will win;0
26;7;If a person plays optimally, he will win;0.052;;If a person plays optimally, he will win;0
26;8;If a person plays optimally, he will win;0.05;;If a person plays optimally, he will win;0
26;9;If a person plays optimally, he will win;0.048;;If a person plays optimally, he will win;0
26;10;If a person plays optimally, he will win;0.047;;If a person plays optimally, he will win;0
